record,std,range,n
001_1,183.0707837750196,5599.815398743519,729078
012_1,117.68573079515205,8739.050652220358,697881
012_2,181.20280690249555,18632.68084859726,482420
012_3,182.45674712199332,7430.910668886666,85956
020_1,145.34825321756986,9899.357371949724,1381183
020_2,1080.4376524687284,34526.53818480555,87927
026_1,154.89141635694315,14206.065544338479,433742
036_1,214.70462543737113,3242.459563966132,1922741
040_1,274.96328680417486,40321.37299017536,984082
040_2,210.17763443688662,11140.9645656405,721174
046_1,216.74993210825892,31421.60596058958,1939036
048_1,764.0959979055681,41399.62997374773,1422945
050_1,575.6157184387847,41423.902846834695,1629332
052_1,153.32250752680096,8112.724138462632,1831848
058_1,259.9768779415931,30953.918516725476,1635978
059_1,1268.6014749968635,44479.33253111476,556888
061_1,587.0504446471169,205609.40890755953,2102065
065_1,364.8244471420257,38738.88393917332,2070677
068_1,442.6234092031232,11112.137772370628,1340115
073_1,585.654066088665,52138.899990458696,2153295
078_1,757.0220879209211,40776.57627971431,1433834
078_2,196.3490532337059,3185.409633694647,249869
082_1,991.1313686230618,47161.526283044775,1537700
102_1,675.9651569165894,25863.23352090346,1836712
108_1,149.68977134357317,2703.16438842706,1733522
110_1,445.02084411030273,494304.5831360752,2255828
111_1,114.88723293012038,4684.357092598844,931299
115_1,158.46667021449016,17795.041179988246,721613
115_2,3659.4508070411925,41015.31246490813,188629
123_1,17446.69754477125,15249561.395130683,1339750
132_1,1153.4045965306586,220559.42286097287,1068457
137_1,117.19283531161156,33676.45564841744,1193037
137_2,94.88196723703784,1576.8074463068974,146702
139_1,77.30183997162875,6169.54941767042,1723186
144_1,225.73884906585366,15958.868143492497,1408818
144_2,1345.184579256893,44966.25765483473,346889
146_1,264.01965379436024,27210.555764400535,436073
146_2,147.66863160945024,9298.530412929493,219461
150_1,92197.26004669914,23718159.269066483,1657900
151_1,219.66921535808638,43909.07979098003,2092093
155_1,295.5464943563056,15637.550533534406,1561215
159_1,394.5232635323111,10731.510224724614,536905
159_2,514.9938696611135,98646.83881190965,2250968
163_1,236.88861263430684,30186.717451359455,2403988
177_1,208.74666644964464,5542.072550392443,1146397
177_2,204.7196545292577,7426.606219132675,365062
185_1,1477.6963871283442,42769.54438471299,342452
187_1,250.94257994962078,41115.44367693394,1604740
188_1,11546.099651756065,5439890.079186151,518222
188_2,395.8640782813125,39895.38154894943,505149
197_1,258.50937804702164,5054.937933991375,824408
198_1,240.1751688672342,37238.950058995266,1235646
201_1,197.9846876459284,10631.73666217822,1273550
201_2,434.55476256087513,7377.883789500975,99977
203_1,240.07512320552306,4013.1747991011475,876177
208_1,605.8014871371845,121989.38295735241,1199475
212_1,170.2462840971819,5934.871183890568,1805382
212_2,656.5805479993685,85805.74708335505,587441
216_1,7265.610984009976,13157222.172186617,2478602
223_1,816.5120817760298,14929.171901097525,1470672
224_1,260943.33782113294,198820828.1563915,512197
224_2,171.1819364807056,10226.874299924793,301702
234_1,102.32637545539961,10287.974092550186,1600502
236_1,126.38892924586419,16532.033688548872,1354317
237_1,202.6539766271811,9575.559865110024,1650150
238_1,87.47542113610601,1307.7290871977461,142842
239_1,1083.002067438745,42561.9241494418,245491
240_1,3442.9952305325764,42810.53945735331,1657387
240_2,395.07946220406524,15881.539451709854,303569
247_1,223.4709680141023,22251.646096964905,1327244
249_1,511.53886846772843,42607.70993642219,2493971
250_1,159.78584020602176,7429.818570913218,1089773
251_1,383.4556154690318,58799.86730651322,1694098
254_1,1028.0890641744083,477549.9282807944,694328
255_1,1156.735606083053,39719.639154937795,1387716
255_2,239.6232869520119,4125.374152277146,361278
257_1,896.6526692776654,21616.723770256755,573922
261_1,177.44300149937894,10338.081331155796,2123795
268_1,311.2601239974022,37912.295872719435,1808876
269_1,118.05743675237285,25633.645605538004,1888866
271_1,258.6790720142162,3769.763760847595,2063719
276_1,300.020264068915,49042.13746240141,1745231
281_1,240.9569637378806,34824.19561373957,1714474
282_1,379.70241143412915,40646.564189181925,679395
288_1,205.32630784720342,11676.327666233708,1979424
295_1,250.15609341770997,8630.451206071346,1593172
296_1,350.01623517233617,39747.41115412395,1817504
297_1,312.8416789165445,12221.24189284194,541258
302_1,580.3906592076468,43452.83271340473,1621088
307_1,276.89167218814714,9110.207772889862,1956594
311_1,253.7973864724764,5464.371230810873,1300747
311_2,253.3224655803289,4107.237430898313,1058778
316_1,549.8221688339027,90555.13853606934,1365796
317_1,365.4276456982001,28279.101122456505,3081207
318_1,222.6078107425236,15440.214296046108,217609
319_1,124.55099437791678,10640.894653000396,772296
324_1,691.7835771360213,49839.873582930784,1678508
337_1,172.08340855744507,5425.9470689132695,307871
